main_key,dayofweek,origin_period,origin,origin_name,duration,arrival_time,destination,destination_name,load_factor,tomorrow?,minimal_n_departures,total_penumpang,maximal_load_factor
BBT-BBT,Thursday,2023-11-10 17:00:00,BBT,BANDUNG BUAH BATU,0 days 00:00:00,2023-11-10 17:00:00,BBT,BANDUNG BUAH BATU,70.0,0 days,1.0,7.0,70.0
BBT-BDRSTTA,Friday,2023-11-10 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 09:30:00,BDRSTTA,BANDARA SOETTA,58.92857142857143,0 days,1.0,5.0,58.92857142857143
BBT-BDRSTTA,Friday,2023-11-10 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 11:30:00,BDRSTTA,BANDARA SOETTA,51.5625,0 days,1.0,4.0,51.5625
BBT-BDRSTTA,Friday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 14:30:00,BDRSTTA,BANDARA SOETTA,61.206896551724135,0 days,1.0,5.0,61.206896551724135
BBT-BDRSTTA,Monday,2023-11-10 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 09:30:00,BDRSTTA,BANDARA SOETTA,71.47435897435898,0 days,1.0,6.0,71.47435897435898
BBT-BDRSTTA,Monday,2023-11-10 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 11:30:00,BDRSTTA,BANDARA SOETTA,73.21428571428571,0 days,1.0,6.5,73.21428571428571
BBT-BDRSTTA,Monday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 14:30:00,BDRSTTA,BANDARA SOETTA,77.91666666666667,0 days,1.0,7.0,77.91666666666667
BBT-BDRSTTA,Monday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 17:30:00,BDRSTTA,BANDARA SOETTA,62.5,0 days,1.0,5.0,62.5
BBT-BDRSTTA,Saturday,2023-11-10 05:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 09:30:00,BDRSTTA,BANDARA SOETTA,51.25,0 days,1.0,4.0,51.25
BBT-BDRSTTA,Saturday,2023-11-10 07:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 11:30:00,BDRSTTA,BANDARA SOETTA,55.357142857142854,0 days,1.0,4.0,55.357142857142854
BBT-BDRSTTA,Saturday,2023-11-10 10:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 14:30:00,BDRSTTA,BANDARA SOETTA,69.23076923076923,0 days,1.0,6.0,69.23076923076923
BBT-BDRSTTA,Saturday,2023-11-10 13:00:00,BBT,BANDUNG BUAH BATU,0 days 04:30:00,2023-11-10 17:30:00,BDRSTTA,BANDARA SOETTA,37.5,0 days,1.0,3.0,37.5
