origin,destination,main_key,origin_name,destination_name
BBT,BBT,BBT-BBT,Bandung Buah Batu,Bandung Buah Batu
BBT,BDRSTTA,BBT-BDRSTTA,Bandung Buah Batu,Bandara Soetta
BBT,BKSM,BBT-BKSM,Bandung Buah Batu,Bekasi Mall
BBT,BKSOC,BBT-BKSOC,Bandung Buah Batu,Bekasi Bebek Ocen
BBT,CJR,BBT-CJR,Bandung Buah Batu,Cianjur
BBT,CKR,BBT-CKR,Bandung Buah Batu,Cikarang Lippo Ruko Roxy
BBT,CRB,BBT-CRB,Bandung Buah Batu,Cirebon Pilang Raya
BBT,DPKNYUS,BBT-DPKNYUS,Bandung Buah Batu,Bhinneka Shuttle  Depok 
BBT,IDM,BBT-IDM,Bandung Buah Batu,Indramayu Singajaya
BBT,JKT,BBT-JKT,Bandung Buah Batu,Jakarta Cikini
BBT,JTSH,BBT-JTSH,Bandung Buah Batu,Bekasi Jatiasih
BBT,KJT,BBT-KJT,Bandung Buah Batu,Kertajati
BBT,KRW,BBT-KRW,Bandung Buah Batu,Karawang Super Mall
BBT,KTM,BBT-KTM,Bandung Buah Batu,Karawang Technomart Galuh Mas
BBT,PLRT,BBT-PLRT,Bandung Buah Batu,Sukabumi Lembursitu
BBT,SHTCPRNG,BBT-SHTCPRNG,Bandung Buah Batu,Kuningan - Ciporang
BBT,SHTCWNG,BBT-SHTCWNG,Bandung Buah Batu,Jakarta Cawang
BBT,SHTGRL,BBT-SHTGRL,Bandung Buah Batu,Bhinneka Shuttle Grogol
BBT,SHTJTWRN,BBT-SHTJTWRN,Bandung Buah Batu,SHTJTWRN
BBT,SHTKRWCI,BBT-SHTKRWCI,Bandung Buah Batu,Karawaci
BBT,SHTTCM,BBT-SHTTCM,Bandung Buah Batu,Tangcity Mall - Drop Only
BBT,SKB,BBT-SKB,Bandung Buah Batu,Sukabumi
BDG,BIJB,BDG-BIJB,Bandung Mekarwangi,Kertajati Bijb
BDG,CJR,BDG-CJR,Bandung Mekarwangi,Cianjur
BDG,CKR,BDG-CKR,Bandung Mekarwangi,Cikarang Lippo Ruko Roxy
BDG,CRB,BDG-CRB,Bandung Mekarwangi,Cirebon Pilang Raya
BDG,DPKNYUS,BDG-DPKNYUS,Bandung Mekarwangi,Bhinneka Shuttle  Depok 
BDG,IDM,BDG-IDM,Bandung Mekarwangi,Indramayu Singajaya
BDG,JKT,BDG-JKT,Bandung Mekarwangi,Jakarta Cikini
BDG,KRW,BDG-KRW,Bandung Mekarwangi,Karawang Super Mall
BDG,PLRT,BDG-PLRT,Bandung Mekarwangi,Sukabumi Lembursitu
BDG,SHTCPRNG,BDG-SHTCPRNG,Bandung Mekarwangi,Kuningan - Ciporang
BDG,SKB,BDG-SKB,Bandung Mekarwangi,Sukabumi
BDRSTTA,BBT,BDRSTTA-BBT,Bandara Soetta,Bandung Buah Batu
BDRSTTA,CRB,BDRSTTA-CRB,Bandara Soetta,Cirebon Pilang Raya
BDRSTTA,KJT,BDRSTTA-KJT,Bandara Soetta,Kertajati
BDRSTTA,PST,BDRSTTA-PST,Bandara Soetta,Bandung Pasteur Square
BDRSTTA,SHTCPRNG,BDRSTTA-SHTCPRNG,Bandara Soetta,Kuningan - Ciporang
BDRSTTA,SHTDU,BDRSTTA-SHTDU,Bandara Soetta,Bandung Dipati Ukur
BIJB,SHTCPRNG,BIJB-SHTCPRNG,Kertajati Bijb,Kuningan - Ciporang
BIJB,SHTDU,BIJB-SHTDU,Kertajati Bijb,Bandung Dipati Ukur
BIJB,SHTHPBS,BIJB-SHTHPBS,Kertajati Bijb,Hotel Pasar Baru Square 
BKSOC,BBT,BKSOC-BBT,Bekasi Bebek Ocen,Bandung Buah Batu
BKSOC,CRB,BKSOC-CRB,Bekasi Bebek Ocen,Cirebon Pilang Raya
BKSOC,PST,BKSOC-PST,Bekasi Bebek Ocen,Bandung Pasteur Square
BKSOC,SHTCPRNG,BKSOC-SHTCPRNG,Bekasi Bebek Ocen,Kuningan - Ciporang
BKSOC,SHTDU,BKSOC-SHTDU,Bekasi Bebek Ocen,Bandung Dipati Ukur
BKSOC,SHTJTNGR,BKSOC-SHTJTNGR,Bekasi Bebek Ocen,Jatinangor
BKSOC,SHTSMD,BKSOC-SHTSMD,Bekasi Bebek Ocen,Sumedang
BKSOC,SKB,BKSOC-SKB,Bekasi Bebek Ocen,Sukabumi
CBBR,BBT,CBBR-BBT,Cibubur,Bandung Buah Batu
CBBR,CRB,CBBR-CRB,Cibubur,Cirebon Pilang Raya
CBBR,PST,CBBR-PST,Cibubur,Bandung Pasteur Square
CBBR,SHTCPRNG,CBBR-SHTCPRNG,Cibubur,Kuningan - Ciporang
CBBR,SHTDU,CBBR-SHTDU,Cibubur,Bandung Dipati Ukur
CBBR,SHTSMD,CBBR-SHTSMD,Cibubur,Sumedang
CJR,BBT,CJR-BBT,Cianjur,Bandung Buah Batu
CJR,BDG,CJR-BDG,Cianjur,Bandung Mekarwangi
CJR,JKT,CJR-JKT,Cianjur,Jakarta Cikini
CJR,PST,CJR-PST,Cianjur,Bandung Pasteur Square
CJR,SHTDU,CJR-SHTDU,Cianjur,Bandung Dipati Ukur
CJR,SHTGRL,CJR-SHTGRL,Cianjur,Bhinneka Shuttle Grogol
CKR,BBT,CKR-BBT,Cikarang Lippo Ruko Roxy,Bandung Buah Batu
